Data,Confirmados,internações confirmadas + suspeitas,óbitos
4/1/2020,0,,
4/2/2020,1,0,
4/3/2020,1,0,
4/4/2020,1,1,
4/5/2020,1,1,
4/6/2020,1,1,
4/7/2020,1,2,
4/8/2020,1,2,
4/9/2020,1,2,
4/10/2020,1,2,
4/11/2020,1,2,
4/12/2020,1,2,
4/13/2020,2,2,
4/14/2020,4,2,
4/15/2020,5,2,
4/16/2020,5,1,
4/17/2020,5,1,
4/18/2020,6,2,
4/19/2020,9,3,
4/20/2020,10,5,
4/21/2020,10,6,
4/22/2020,11,9,
4/23/2020,11,9,
4/24/2020,15,4,
4/25/2020,17,5,
4/26/2020,18,5,
4/27/2020,18,4,
4/28/2020,23,4,
4/29/2020,29,6,
4/30/2020,33,7,
5/1/2020,33,6,0
5/2/2020,40,7,0
5/3/2020,51,5,1
5/4/2020,59,8,1
5/5/2020,68,10,1
5/6/2020,72,12,1
5/7/2020,76,13,1
5/8/2020,85,10,1
5/9/2020,91,10,1
5/10/2020,95,10,1
5/11/2020,100,11,1
5/12/2020,104,6,2
5/13/2020,114,5,3
5/14/2020,122,6,3
5/15/2020,143,8,3
5/16/2020,143,8,3
5/17/2020,143,8,3
5/18/2020,164,15,3
5/19/2020,171,16,3
5/20/2020,185,15,3
5/21/2020,191,13,4
5/22/2020,203,11,5
5/23/2020,205,11,6
5/24/2020,205,11,6
5/25/2020,215,11,6
5/26/2020,225,13,6