city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
NA;33;103493; 599,44015;2020-06-24;0,0898;9295;17264943;TRUE;104;state;RJ
Angra dos Reis;3300100;  1908; 936,28088;2020-06-23;0,0393;  75;  203785;TRUE; 86;city;RJ
AperibÃ©;3300159;    69; 586,78459;2020-06-23;0,0145;   1;   11759;TRUE; 62;city;RJ
Araruama;3300209;   303; 228,85196;2020-06-23;0,1122;  34;  132400;TRUE; 82;city;RJ
Areal;3300225;    82; 652,24308;2020-06-23;0,0122;   1;   12572;TRUE; 70;city;RJ
ArmaÃ§Ã£o dos BÃºzios;3300233;   372;1098,31709;2020-06-23;0,0134;   5;   33870;TRUE; 71;city;RJ
Arraial do Cabo;3300258;    67; 220,76510;2020-06-23;0,0597;   4;   30349;TRUE; 84;city;RJ
Barra do PiraÃ­;3300308;   341; 339,72941;2020-06-23;0,0674;  23;  100374;TRUE; 82;city;RJ
Barra Mansa;3300407;   389; 210,94072;2020-06-23;0,0746;  29;  184412;TRUE;103;city;RJ
Belford Roxo;3300456;  1329; 260,12613;2020-06-23;0,1226; 163;  510906;TRUE; 90;city;RJ
Bom Jardim;3300506;    45; 163,95832;2020-06-23;0,0444;   2;   27446;TRUE; 78;city;RJ
Bom Jesus do Itabapoana;3300605;   104; 280,35368;2020-06-23;0,0192;   2;   37096;TRUE; 75;city;RJ
Cabo Frio;3300704;   700; 309,01666;2020-06-23;0,0471;  33;  226525;TRUE; 78;city;RJ
Cachoeiras de Macacu;3300803;   289; 490,35411;2020-06-23;0,0623;  18;   58937;TRUE; 75;city;RJ
Cambuci;3300902;    47; 303,12802;2020-06-23;0,0000;   0;   15505;TRUE; 41;city;RJ
Campos dos Goytacazes;3301009;  1561; 307,55712;2020-06-23;0,0525;  82;  507548;TRUE; 92;city;RJ
Cantagalo;3301108;    19;  94,18997;2020-06-23;0,0526;   1;   20172;TRUE; 76;city;RJ
Carapebus;3300936;    94; 576,65174;2020-06-23;0,0106;   1;   16301;TRUE; 70;city;RJ
Cardoso Moreira;3301157;    82; 639,47594;2020-06-23;0,0000;   0;   12823;TRUE; 47;city;RJ
Carmo;3301207;    60; 317,54432;2020-06-23;0,0333;   2;   18895;TRUE; 53;city;RJ
Casimiro de Abreu;3301306;   306; 692,55839;2020-06-23;0,0327;  10;   44184;TRUE; 78;city;RJ
Comendador Levy Gasparian;3300951;    40; 467,23514;2020-06-23;0,0000;   0;    8561;TRUE; 37;city;RJ
ConceiÃ§Ã£o de Macabu;3301405;   156; 671,60324;2020-06-23;0,0064;   1;   23228;TRUE; 63;city;RJ
Cordeiro;3301504;    29; 132,26307;2020-06-23;0,0000;   0;   21926;TRUE; 59;city;RJ
Duas Barras;3301603;     7;  60,91194;2020-06-23;0,0000;   0;   11492;TRUE; 28;city;RJ
Duque de Caxias;3301702;  2775; 301,76295;2020-06-23;0,1380; 383;  919596;TRUE; 92;city;RJ
Engenheiro Paulo de Frontin;3301801;    46; 328,52450;2020-06-23;0,0435;   2;   14002;TRUE; 50;city;RJ
Guapimirim;3301850;   699;1155,04734;2020-06-23;0,0486;  34;   60517;TRUE; 97;city;RJ
Iguaba Grande;3301876;   154; 543,97739;2020-06-23;0,1299;  20;   28310;TRUE; 82;city;RJ
Importados/Indefinidos;NA;     0;NA;2020-06-23;0,0000;   0;NA;TRUE; 95;city;RJ
ItaboraÃ­;3301900;  2213; 919,81446;2020-06-23;0,0533; 118;  240592;TRUE; 89;city;RJ
ItaguaÃ­;3302007;  1238; 930,69411;2020-06-23;0,0582;  72;  133019;TRUE; 83;city;RJ
Italva;3302056;   139; 914,05274;2020-06-23;0,0216;   3;   15207;TRUE; 58;city;RJ
Itaocara;3302106;    89; 383,05931;2020-06-23;0,0449;   4;   23234;TRUE; 54;city;RJ
Itaperuna;3302205;   554; 536,69689;2020-06-23;0,0018;   1;  103224;TRUE; 80;city;RJ
Itatiaia;3302254;    23;  72,31567;2020-06-23;0,0000;   0;   31805;TRUE; 75;city;RJ
Japeri;3302270;   156; 148,90043;2020-06-23;0,1154;  18;  104768;TRUE; 78;city;RJ
Laje do MuriaÃ©;3302304;    91;1237,25357;2020-06-23;0,0000;   0;    7355;TRUE; 44;city;RJ
MacaÃ©;3302403;  1853; 721,93305;2020-06-23;0,0372;  69;  256672;TRUE; 85;city;RJ
Macuco;3302452;     9; 160,74299;2020-06-23;0,0000;   0;    5599;TRUE; 62;city;RJ
MagÃ©;3302502;  1496; 610,43534;2020-06-23;0,0856; 128;  245071;TRUE; 83;city;RJ
Mangaratiba;3302601;   289; 649,90555;2020-06-23;0,0761;  22;   44468;TRUE; 88;city;RJ
MaricÃ¡;3302700;  1092; 677,38994;2020-06-23;0,0449;  49;  161207;TRUE; 87;city;RJ
Mendes;3302809;    49; 263,24272;2020-06-23;0,0408;   2;   18614;TRUE; 70;city;RJ
Mesquita;3302858;   678; 385,00196;2020-06-23;0,1519; 103;  176103;TRUE; 83;city;RJ
Miguel Pereira;3302908;    72; 281,93281;2020-06-23;0,0417;   3;   25538;TRUE; 96;city;RJ
Miracema;3303005;   105; 386,39876;2020-06-23;0,0000;   0;   27174;TRUE; 55;city;RJ
Natividade;3303104;   146; 953,18927;2020-06-23;0,0068;   1;   15317;TRUE; 47;city;RJ
NilÃ³polis;3303203;   629; 387,11266;2020-06-23;0,1097;  69;  162485;TRUE; 82;city;RJ
NiterÃ³i;3303302;  5540;1078,69404;2020-06-23;0,0323; 179;  513584;TRUE;100;city;RJ
Nova Friburgo;3303401;   374; 196,19055;2020-06-23;0,0856;  32;  190631;TRUE; 81;city;RJ
Nova IguaÃ§u;3303500;  3051; 371,56205;2020-06-23;0,1059; 323;  821128;TRUE; 88;city;RJ
Paracambi;3303609;   318; 608,53091;2020-06-23;0,0660;  21;   52257;TRUE; 75;city;RJ
ParaÃ­ba do Sul;3303708;   257; 580,33194;2020-06-23;0,0428;  11;   44285;TRUE; 81;city;RJ
Paraty;3303807;   188; 435,53805;2020-06-23;0,0479;   9;   43165;TRUE; 76;city;RJ
Paty do Alferes;3303856;    41; 147,64666;2020-06-23;0,0976;   4;   27769;TRUE; 76;city;RJ
PetrÃ³polis;3303906;   776; 253,43658;2020-06-23;0,1070;  83;  306191;TRUE; 95;city;RJ
Pinheiral;3303955;   101; 401,49467;2020-06-23;0,0099;   1;   25156;TRUE; 67;city;RJ
PiraÃ­;3304003;   171; 584,07624;2020-06-23;0,0351;   6;   29277;TRUE; 73;city;RJ
PorciÃºncula;3304102;    73; 387,32955;2020-06-23;0,0274;   2;   18847;TRUE; 82;city;RJ
Porto Real;3304110;    35; 177,81842;2020-06-23;0,0000;   0;   19683;TRUE; 78;city;RJ
Quatis;3304128;    22; 153,82464;2020-06-23;0,0000;   0;   14302;TRUE; 78;city;RJ
Queimados;3304144;  1546;1028,47943;2020-06-23;0,0181;  28;  150319;TRUE; 86;city;RJ
QuissamÃ£;3304151;   174; 704,45344;2020-06-23;0,0057;   1;   24700;TRUE; 70;city;RJ
Resende;3304201;   333; 253,53850;2020-06-23;0,0631;  21;  131341;TRUE; 91;city;RJ
Rio Bonito;3304300;   371; 616,26883;2020-06-23;0,0512;  19;   60201;TRUE; 86;city;RJ
Rio Claro;3304409;   116; 626,04566;2020-06-23;0,0000;   0;   18529;TRUE; 39;city;RJ
Rio das Flores;3304508;     7;  75,39854;2020-06-23;0,1429;   1;    9284;TRUE; 77;city;RJ
Rio das Ostras;3304524;   669; 444,00494;2020-06-23;0,0404;  27;  150674;TRUE; 87;city;RJ
Rio de Janeiro;3304557; 52325; 778,77296;2020-06-23;0,1147;6000; 6718903;TRUE;102;city;RJ
Santa Maria Madalena;3304607;    16; 153,78700;2020-06-23;0,0000;   0;   10404;TRUE; 59;city;RJ
Santo AntÃ´nio de PÃ¡dua;3304706;   285; 670,91975;2020-06-23;0,0105;   3;   42479;TRUE; 65;city;RJ
SÃ£o FidÃ©lis;3304805;   142; 367,21922;2020-06-23;0,0000;   0;   38669;TRUE; 73;city;RJ
SÃ£o Francisco de Itabapoana;3304755;   143; 338,82241;2020-06-23;0,0699;  10;   42205;TRUE; 75;city;RJ
SÃ£o GonÃ§alo;3304904;  4186; 385,86371;2020-06-23;0,0898; 376; 1084839;TRUE; 93;city;RJ
SÃ£o JoÃ£o da Barra;3305000;   213; 589,99501;2020-06-23;0,0329;   7;   36102;TRUE; 80;city;RJ
SÃ£o JoÃ£o de Meriti;3305109;  1527; 323,23891;2020-06-23;0,1179; 180;  472406;TRUE; 86;city;RJ
SÃ£o JosÃ© de UbÃ¡;3305133;    78;1087,71441;2020-06-23;0,0000;   0;    7171;TRUE; 59;city;RJ
SÃ£o JosÃ© do Vale do Rio Preto;3305158;   158; 724,93691;2020-06-23;0,0063;   1;   21795;TRUE; 58;city;RJ
SÃ£o Pedro da Aldeia;3305208;   339; 324,47643;2020-06-23;0,0236;   8;  104476;TRUE; 85;city;RJ
SÃ£o SebastiÃ£o do Alto;3305307;    11; 117,55905;2020-06-23;0,0909;   1;    9357;TRUE; 61;city;RJ
Sapucaia;3305406;   147; 806,45161;2020-06-23;0,0884;  13;   18228;TRUE; 78;city;RJ
Saquarema;3305505;   188; 210,83324;2020-06-23;0,1011;  19;   89170;TRUE; 73;city;RJ
SeropÃ©dica;3305554;   421; 511,46856;2020-06-23;0,0546;  23;   82312;TRUE; 87;city;RJ
Silva Jardim;3305604;   101; 463,85598;2020-06-23;0,0396;   4;   21774;TRUE; 70;city;RJ
Sumidouro;3305703;    28; 179,22294;2020-06-23;0,0714;   2;   15623;TRUE; 76;city;RJ
TanguÃ¡;3305752;   321; 935,61456;2020-06-23;0,0841;  27;   34309;TRUE; 80;city;RJ
TeresÃ³polis;3305802;   844; 462,22767;2020-06-23;0,0509;  43;  182594;TRUE; 86;city;RJ
Trajano de Moraes;3305901;    33; 310,55901;2020-06-23;0,0000;   0;   10626;TRUE; 80;city;RJ
TrÃªs Rios;3306008;   352; 430,29681;2020-06-23;0,0114;   4;   81804;TRUE; 82;city;RJ
ValenÃ§a;3306107;   156; 203,86028;2020-06-23;0,0449;   7;   76523;TRUE; 91;city;RJ
Varre-Sai;3306156;    33; 300,00000;2020-06-23;0,0000;   0;   11000;TRUE; 37;city;RJ
Vassouras;3306206;   218; 590,84996;2020-06-23;0,0596;  13;   36896;TRUE; 62;city;RJ
Volta Redonda;3306305;  1447; 530,01333;2020-06-23;0,0387;  56;  273012;TRUE; 92;city;RJ
NA;33;100869; 584,24172;2020-06-23;0,0907;9153;17264943;FALSE;103;state;RJ
Angra dos Reis;3300100;  1864; 914,68950;2020-06-22;0,0386;  72;  203785;FALSE; 85;city;RJ
AperibÃ©;3300159;    63; 535,75984;2020-06-22;0,0000;   0;   11759;FALSE; 61;city;RJ
Araruama;3300209;   297; 224,32024;2020-06-22;0,1010;  30;  132400;FALSE; 81;city;RJ
Areal;3300225;    82; 652,24308;2020-06-22;0,0122;   1;   12572;FALSE; 69;city;RJ
ArmaÃ§Ã£o dos BÃºzios;3300233;   161; 475,34691;2020-06-22;0,0311;   5;   33870;FALSE; 70;city;RJ
Arraial do Cabo;3300258;    67; 220,76510;2020-06-22;0,0597;   4;   30349;FALSE; 83;city;RJ
Barra do PiraÃ­;3300308;   330; 328,77040;2020-06-22;0,0697;  23;  100374;FALSE; 81;city;RJ
Barra Mansa;3300407;   362; 196,29959;2020-06-22;0,0773;  28;  184412;FALSE;102;city;RJ
Belford Roxo;3300456;  1294; 253,27555;2020-06-22;0,1252; 162;  510906;FALSE; 89;city;RJ
Bom Jardim;3300506;    43; 156,67128;2020-06-22;0,0465;   2;   27446;FALSE; 77;city;RJ
Bom Jesus do Itabapoana;3300605;   100; 269,57084;2020-06-22;0,0200;   2;   37096;FALSE; 74;city;RJ
Cabo Frio;3300704;   672; 296,65600;2020-06-22;0,0491;  33;  226525;FALSE; 77;city;RJ
Cachoeiras de Macacu;3300803;   274; 464,90320;2020-06-22;0,0657;  18;   58937;FALSE; 74;city;RJ
Cambuci;3300902;    46; 296,67849;2020-06-22;0,0000;   0;   15505;FALSE; 40;city;RJ
Campos dos Goytacazes;3301009;  1502; 295,93260;2020-06-22;0,0513;  77;  507548;FALSE; 91;city;RJ
Cantagalo;3301108;    18;  89,23260;2020-06-22;0,0556;   1;   20172;FALSE; 75;city;RJ
Carapebus;3300936;    88; 539,84418;2020-06-22;0,0114;   1;   16301;FALSE; 69;city;RJ
Cardoso Moreira;3301157;    69; 538,09561;2020-06-22;0,0000;   0;   12823;FALSE; 46;city;RJ
Carmo;3301207;    60; 317,54432;2020-06-22;0,0333;   2;   18895;FALSE; 52;city;RJ
Casimiro de Abreu;3301306;   291; 658,60945;2020-06-22;0,0309;   9;   44184;FALSE; 77;city;RJ
Comendador Levy Gasparian;3300951;    40; 467,23514;2020-06-22;0,0000;   0;    8561;FALSE; 36;city;RJ
ConceiÃ§Ã£o de Macabu;3301405;   156; 671,60324;2020-06-22;0,0064;   1;   23228;FALSE; 62;city;RJ
Cordeiro;3301504;    26; 118,58068;2020-06-22;0,0000;   0;   21926;FALSE; 58;city;RJ
Duas Barras;3301603;     7;  60,91194;2020-06-22;0,0000;   0;   11492;FALSE; 27;city;RJ
Duque de Caxias;3301702;  2655; 288,71374;2020-06-22;0,1401; 372;  919596;FALSE; 91;city;RJ
Engenheiro Paulo de Frontin;3301801;    42; 299,95715;2020-06-22;0,0476;   2;   14002;FALSE; 49;city;RJ
Guapimirim;3301850;   685;1131,91335;2020-06-22;0,0482;  33;   60517;FALSE; 96;city;RJ
Iguaba Grande;3301876;   146; 515,71883;2020-06-22;0,1370;  20;   28310;FALSE; 81;city;RJ
Importados/Indefinidos;NA;     0;NA;2020-06-22;0,0000;   0;NA;FALSE; 94;city;RJ
ItaboraÃ­;3301900;  2114; 878,66596;2020-06-22;0,0544; 115;  240592;FALSE; 88;city;RJ
ItaguaÃ­;3302007;  1208; 908,14094;2020-06-22;0,0571;  69;  133019;FALSE; 82;city;RJ
Italva;3302056;   124; 815,41395;2020-06-22;0,0242;   3;   15207;FALSE; 57;city;RJ
Itaocara;3302106;    88; 378,75527;2020-06-22;0,0455;   4;   23234;FALSE; 53;city;RJ
Itaperuna;3302205;   517; 500,85251;2020-06-22;0,0019;   1;  103224;FALSE; 79;city;RJ
Itatiaia;3302254;    21;  66,02735;2020-06-22;0,0000;   0;   31805;FALSE; 74;city;RJ
Japeri;3302270;   155; 147,94594;2020-06-22;0,1161;  18;  104768;FALSE; 77;city;RJ
Laje do MuriaÃ©;3302304;    91;1237,25357;2020-06-22;0,0000;   0;    7355;FALSE; 43;city;RJ
MacaÃ©;3302403;  1785; 695,44009;2020-06-22;0,0359;  64;  256672;FALSE; 84;city;RJ
Macuco;3302452;     8; 142,88266;2020-06-22;0,0000;   0;    5599;FALSE; 61;city;RJ
MagÃ©;3302502;  1375; 561,06190;2020-06-22;0,0916; 126;  245071;FALSE; 82;city;RJ
Mangaratiba;3302601;   257; 577,94369;2020-06-22;0,0817;  21;   44468;FALSE; 87;city;RJ
MaricÃ¡;3302700;  1010; 626,52366;2020-06-22;0,0485;  49;  161207;FALSE; 86;city;RJ
Mendes;3302809;    47; 252,49812;2020-06-22;0,0426;   2;   18614;FALSE; 69;city;RJ
Mesquita;3302858;   664; 377,05207;2020-06-22;0,1521; 101;  176103;FALSE; 82;city;RJ
Miguel Pereira;3302908;    71; 278,01707;2020-06-22;0,0423;   3;   25538;FALSE; 95;city;RJ
Miracema;3303005;    97; 356,95886;2020-06-22;0,0000;   0;   27174;FALSE; 54;city;RJ
Natividade;3303104;   140; 914,01711;2020-06-22;0,0071;   1;   15317;FALSE; 46;city;RJ
NilÃ³polis;3303203;   607; 373,57295;2020-06-22;0,1104;  67;  162485;FALSE; 81;city;RJ
NiterÃ³i;3303302;  5426;1056,49709;2020-06-22;0,0324; 176;  513584;FALSE; 99;city;RJ
Nova Friburgo;3303401;   359; 188,32194;2020-06-22;0,0836;  30;  190631;FALSE; 80;city;RJ
Nova IguaÃ§u;3303500;  2977; 362,55005;2020-06-22;0,1065; 317;  821128;FALSE; 87;city;RJ
Paracambi;3303609;   313; 598,96282;2020-06-22;0,0607;  19;   52257;FALSE; 74;city;RJ
ParaÃ­ba do Sul;3303708;   252; 569,04144;2020-06-22;0,0437;  11;   44285;FALSE; 80;city;RJ
Paraty;3303807;   181; 419,32121;2020-06-22;0,0442;   8;   43165;FALSE; 75;city;RJ
Paty do Alferes;3303856;    38; 136,84324;2020-06-22;0,1053;   4;   27769;FALSE; 75;city;RJ
PetrÃ³polis;3303906;   761; 248,53768;2020-06-22;0,1091;  83;  306191;FALSE; 94;city;RJ
Pinheiral;3303955;    98; 389,56909;2020-06-22;0,0102;   1;   25156;FALSE; 66;city;RJ
PiraÃ­;3304003;   164; 560,16668;2020-06-22;0,0366;   6;   29277;FALSE; 72;city;RJ
PorciÃºncula;3304102;    72; 382,02366;2020-06-22;0,0278;   2;   18847;FALSE; 81;city;RJ
Porto Real;3304110;    32; 162,57684;2020-06-22;0,0000;   0;   19683;FALSE; 77;city;RJ
Quatis;3304128;    21; 146,83261;2020-06-22;0,0000;   0;   14302;FALSE; 77;city;RJ
Queimados;3304144;  1527;1015,83965;2020-06-22;0,0183;  28;  150319;FALSE; 85;city;RJ
QuissamÃ£;3304151;   160; 647,77328;2020-06-22;0,0063;   1;   24700;FALSE; 69;city;RJ
Resende;3304201;   327; 248,97024;2020-06-22;0,0642;  21;  131341;FALSE; 90;city;RJ
Rio Bonito;3304300;   362; 601,31891;2020-06-22;0,0525;  19;   60201;FALSE; 85;city;RJ
Rio Claro;3304409;   116; 626,04566;2020-06-22;0,0000;   0;   18529;FALSE; 38;city;RJ
Rio das Flores;3304508;     7;  75,39854;2020-06-22;0,1429;   1;    9284;FALSE; 76;city;RJ
Rio das Ostras;3304524;   660; 438,03178;2020-06-22;0,0409;  27;  150674;FALSE; 86;city;RJ
Rio de Janeiro;3304557; 50922; 757,89158;2020-06-22;0,1154;5875; 6718903;FALSE;101;city;RJ
Santa Maria Madalena;3304607;    15; 144,17532;2020-06-22;0,0000;   0;   10404;FALSE; 58;city;RJ
Santo AntÃ´nio de PÃ¡dua;3304706;   276; 649,73281;2020-06-22;0,0109;   3;   42479;FALSE; 64;city;RJ
SÃ£o FidÃ©lis;3304805;   139; 359,46107;2020-06-22;0,0000;   0;   38669;FALSE; 72;city;RJ
SÃ£o Francisco de Itabapoana;3304755;   141; 334,08364;2020-06-22;0,0709;  10;   42205;FALSE; 74;city;RJ
SÃ£o GonÃ§alo;3304904;  4026; 371,11498;2020-06-22;0,0872; 351; 1084839;FALSE; 92;city;RJ
SÃ£o JoÃ£o da Barra;3305000;   209; 578,91530;2020-06-22;0,0335;   7;   36102;FALSE; 79;city;RJ
SÃ£o JoÃ£o de Meriti;3305109;  1489; 315,19498;2020-06-22;0,1182; 176;  472406;FALSE; 85;city;RJ
SÃ£o JosÃ© de UbÃ¡;3305133;    77;1073,76935;2020-06-22;0,0000;   0;    7171;FALSE; 58;city;RJ
SÃ£o JosÃ© do Vale do Rio Preto;3305158;   155; 711,17229;2020-06-22;0,0065;   1;   21795;FALSE; 57;city;RJ
SÃ£o Pedro da Aldeia;3305208;   322; 308,20476;2020-06-22;0,0217;   7;  104476;FALSE; 84;city;RJ
SÃ£o SebastiÃ£o do Alto;3305307;    11; 117,55905;2020-06-22;0,0909;   1;    9357;FALSE; 60;city;RJ
Sapucaia;3305406;   147; 806,45161;2020-06-22;0,0884;  13;   18228;FALSE; 77;city;RJ
Saquarema;3305505;   183; 205,22597;2020-06-22;0,1038;  19;   89170;FALSE; 72;city;RJ
SeropÃ©dica;3305554;   402; 488,38565;2020-06-22;0,0547;  22;   82312;FALSE; 86;city;RJ
Silva Jardim;3305604;   100; 459,26334;2020-06-22;0,0400;   4;   21774;FALSE; 69;city;RJ
Sumidouro;3305703;    25; 160,02048;2020-06-22;0,0800;   2;   15623;FALSE; 75;city;RJ
TanguÃ¡;3305752;   299; 871,49145;2020-06-22;0,0870;  26;   34309;FALSE; 79;city;RJ
TeresÃ³polis;3305802;   812; 444,70245;2020-06-22;0,0517;  42;  182594;FALSE; 85;city;RJ
Trajano de Moraes;3305901;    33; 310,55901;2020-06-22;0,0000;   0;   10626;FALSE; 79;city;RJ
TrÃªs Rios;3306008;   327; 399,73595;2020-06-22;0,0122;   4;   81804;FALSE; 81;city;RJ
ValenÃ§a;3306107;   154; 201,24668;2020-06-22;0,0455;   7;   76523;FALSE; 90;city;RJ
Varre-Sai;3306156;    32; 290,90909;2020-06-22;0,0000;   0;   11000;FALSE; 36;city;RJ
Vassouras;3306206;   211; 571,87771;2020-06-22;0,0616;  13;   36896;FALSE; 61;city;RJ
Volta Redonda;3306305;  1393; 510,23398;2020-06-22;0,0388;  54;  273012;FALSE; 91;city;RJ
NA;33; 97572; 565,14522;2020-06-22;0,0916;8933;17264943;FALSE;102;state;RJ
Angra dos Reis;3300100;  1845; 905,36595;2020-06-21;0,0369;  68;  203785;FALSE; 84;city;RJ
AperibÃ©;3300159;    62; 527,25572;2020-06-21;0,0000;   0;   11759;FALSE; 60;city;RJ
Araruama;3300209;   294; 222,05438;2020-06-21;0,1020;  30;  132400;FALSE; 80;city;RJ
Areal;3300225;    82; 652,24308;2020-06-21;0,0122;   1;   12572;FALSE; 68;city;RJ
ArmaÃ§Ã£o dos BÃºzios;3300233;   160; 472,39445;2020-06-21;0,0312;   5;   33870;FALSE; 69;city;RJ
Arraial do Cabo;3300258;    65; 214,17510;2020-06-21;0,0615;   4;   30349;FALSE; 82;city;RJ
Barra do PiraÃ­;3300308;   283; 281,94552;2020-06-21;0,0813;  23;  100374;FALSE; 80;city;RJ
Barra Mansa;3300407;   272; 147,49582;2020-06-21;0,1029;  28;  184412;FALSE;101;city;RJ
Belford Roxo;3300456;  1268; 248,18655;2020-06-21;0,1270; 161;  510906;FALSE; 88;city;RJ
Bom Jardim;3300506;    42; 153,02776;2020-06-21;0,0476;   2;   27446;FALSE; 76;city;RJ
